task,noise,method,budget,seed,affected
tfim,param_lam0.5,zne,6000,8,False
tfim,param_lam0.5,zne,6000,9,False
tfim,param_lam0.5,zne,12000,0,False
tfim,param_lam0.5,zne,12000,1,False
tfim,param_lam0.5,zne,12000,2,False
tfim,param_lam0.5,zne,12000,3,False
tfim,param_lam0.5,zne,12000,4,False
tfim,param_lam0.5,zne,12000,5,False
tfim,param_lam0.5,zne,12000,6,False
tfim,param_lam0.5,zne,12000,7,False
tfim,param_lam0.5,rem,1500,0,False
tfim,param_lam0.5,rem,1500,1,False
tfim,param_lam0.5,rem,1500,2,False
tfim,param_lam0.5,rem,1500,3,False
tfim,param_lam0.5,zne,12000,8,False
tfim,param_lam0.5,zne,12000,9,False
tfim,param_lam0.5,zne,24000,0,False
tfim,param_lam0.5,zne,24000,1,False
tfim,param_lam0.5,zne,24000,6,False
tfim,param_lam0.5,zne,24000,7,False
tfim,param_lam0.5,zne,24000,8,False
tfim,param_lam0.5,zne,24000,9,False
tfim,param_lam0.5,zne,24000,2,False
tfim,param_lam0.5,zne,24000,3,False
tfim,param_lam0.5,zne,24000,4,False
tfim,param_lam0.5,zne,24000,5,False
tfim,param_lam0.5,rem,1500,8,False
tfim,param_lam0.5,rem,1500,9,False
tfim,param_lam0.5,rem,3000,0,False
tfim,param_lam0.5,rem,3000,1,False
tfim,param_lam0.5,rem,1500,4,False
tfim,param_lam0.5,rem,1500,5,False
tfim,param_lam0.5,rem,1500,6,False
tfim,param_lam0.5,rem,1500,7,False
tfim,param_lam0.5,rem,3000,6,False
tfim,param_lam0.5,rem,3000,7,False
tfim,param_lam0.5,rem,3000,8,False
tfim,param_lam0.5,rem,3000,9,False
tfim,param_lam0.5,rem,3000,2,False
tfim,param_lam0.5,rem,3000,3,False
tfim,param_lam0.5,rem,3000,4,False
tfim,param_lam0.5,rem,3000,5,False
tfim,param_lam0.5,rem,6000,4,False
tfim,param_lam0.5,rem,6000,5,False
tfim,param_lam0.5,rem,6000,6,False
tfim,param_lam0.5,rem,6000,7,False
tfim,param_lam0.5,rem,6000,0,False
tfim,param_lam0.5,rem,6000,1,False
tfim,param_lam0.5,rem,6000,2,False
tfim,param_lam0.5,rem,6000,3,False
tfim,param_lam0.5,rem,12000,2,False
tfim,param_lam0.5,rem,12000,3,False
tfim,param_lam0.5,rem,12000,4,False
tfim,param_lam0.5,rem,12000,5,False
tfim,param_lam0.5,rem,6000,8,False
tfim,param_lam0.5,rem,6000,9,False
tfim,param_lam0.5,rem,12000,0,False
tfim,param_lam0.5,rem,12000,1,False
tfim,param_lam0.5,rem,12000,6,False
tfim,param_lam0.5,rem,12000,7,False
tfim,param_lam0.5,rem,12000,8,False
tfim,param_lam0.5,rem,12000,9,False
tfim,param_lam0.5,rem,24000,0,False
tfim,param_lam0.5,rem,24000,1,False
tfim,param_lam0.5,rem,24000,2,False
tfim,param_lam0.5,rem,24000,3,False
tfim,param_lam0.5,rem,24000,4,False
tfim,param_lam0.5,rem,24000,5,False
tfim,param_lam0.5,rem,24000,6,False
tfim,param_lam0.5,rem,24000,7,False
tfim,param_lam0.5,rem,24000,8,False
tfim,param_lam0.5,rem,24000,9,False
tfim,param_lam0.5,zne_rem,1500,0,False
tfim,param_lam0.5,zne_rem,1500,1,False
tfim,param_lam0.5,zne_rem,1500,2,False
tfim,param_lam0.5,zne_rem,1500,3,False
tfim,param_lam0.5,zne_rem,1500,4,False
tfim,param_lam0.5,zne_rem,1500,5,False
tfim,param_lam0.5,zne_rem,1500,6,False
tfim,param_lam0.5,zne_rem,1500,7,False
tfim,param_lam0.5,zne_rem,1500,8,False
tfim,param_lam0.5,zne_rem,1500,9,False
tfim,param_lam0.5,zne_rem,3000,0,False
tfim,param_lam0.5,zne_rem,3000,1,False
tfim,param_lam0.5,zne_rem,3000,2,False
tfim,param_lam0.5,zne_rem,3000,3,False
tfim,param_lam0.5,zne_rem,3000,4,False
tfim,param_lam0.5,zne_rem,3000,5,False
tfim,param_lam0.5,zne_rem,3000,6,False
tfim,param_lam0.5,zne_rem,3000,7,False
tfim,param_lam0.5,zne_rem,3000,8,False
tfim,param_lam0.5,zne_rem,3000,9,False
tfim,param_lam0.5,zne_rem,6000,0,False
tfim,param_lam0.5,zne_rem,6000,1,False
tfim,param_lam0.5,zne_rem,6000,2,False
tfim,param_lam0.5,zne_rem,6000,3,False
tfim,param_lam0.5,zne_rem,6000,4,False
tfim,param_lam0.5,zne_rem,6000,5,False
tfim,param_lam0.5,zne_rem,6000,6,False
tfim,param_lam0.5,zne_rem,6000,7,False
tfim,param_lam0.5,zne_rem,6000,8,False
tfim,param_lam0.5,zne_rem,6000,9,False
tfim,param_lam0.5,zne_rem,12000,0,False
tfim,param_lam0.5,zne_rem,12000,1,False
tfim,param_lam0.5,zne_rem,12000,2,False
tfim,param_lam0.5,zne_rem,12000,3,False
tfim,param_lam0.5,zne_rem,12000,4,False
tfim,param_lam0.5,zne_rem,12000,5,False
tfim,param_lam0.5,zne_rem,12000,6,False
tfim,param_lam0.5,zne_rem,12000,7,False
tfim,param_lam0.5,zne_rem,12000,8,False
tfim,param_lam0.5,zne_rem,12000,9,False
tfim,param_lam0.5,zne_rem,24000,0,False
tfim,param_lam0.5,zne_rem,24000,1,False
tfim,param_lam1,none,1500,0,False
tfim,param_lam1,none,1500,1,False
tfim,param_lam1,none,1500,2,False
tfim,param_lam1,none,1500,3,False
tfim,param_lam0.5,zne_rem,24000,2,False
tfim,param_lam0.5,zne_rem,24000,3,False
tfim,param_lam0.5,zne_rem,24000,4,False
tfim,param_lam0.5,zne_rem,24000,5,False
tfim,param_lam1,none,1500,8,False
tfim,param_lam1,none,1500,9,False
tfim,param_lam1,none,3000,0,False
tfim,param_lam1,none,3000,1,False
tfim,param_lam0.5,zne_rem,24000,6,False
tfim,param_lam0.5,zne_rem,24000,7,False
tfim,param_lam0.5,zne_rem,24000,8,False
tfim,param_lam0.5,zne_rem,24000,9,False
tfim,param_lam1,none,1500,4,False
tfim,param_lam1,none,1500,5,False
tfim,param_lam1,none,1500,6,False
tfim,param_lam1,none,1500,7,False
tfim,param_lam1,none,3000,2,False
tfim,param_lam1,none,3000,3,False
tfim,param_lam1,none,3000,4,False
tfim,param_lam1,none,3000,5,False
tfim,param_lam1,none,6000,4,False
tfim,param_lam1,none,6000,5,False
tfim,param_lam1,none,6000,6,False
tfim,param_lam1,none,6000,7,False
tfim,param_lam1,none,3000,6,False
tfim,param_lam1,none,3000,7,False
tfim,param_lam1,none,3000,8,False
tfim,param_lam1,none,3000,9,False
tfim,param_lam1,none,6000,8,False
tfim,param_lam1,none,6000,9,False
tfim,param_lam1,none,12000,0,False
tfim,param_lam1,none,12000,1,False
tfim,param_lam1,none,6000,0,False
tfim,param_lam1,none,6000,1,False
tfim,param_lam1,none,6000,2,False
tfim,param_lam1,none,6000,3,False
tfim,param_lam1,none,12000,6,False
tfim,param_lam1,none,12000,7,False
tfim,param_lam1,none,12000,8,False
tfim,param_lam1,none,12000,9,False
tfim,param_lam1,none,12000,2,False
tfim,param_lam1,none,12000,3,False
tfim,param_lam1,none,12000,4,False
tfim,param_lam1,none,12000,5,False
tfim,param_lam1,none,24000,0,False
tfim,param_lam1,none,24000,1,False
tfim,param_lam1,none,24000,2,False
tfim,param_lam1,none,24000,3,False
tfim,param_lam1,none,24000,4,False
tfim,param_lam1,none,24000,5,False
tfim,param_lam1,none,24000,6,False
tfim,param_lam1,none,24000,7,False
tfim,param_lam1,none,24000,8,False
tfim,param_lam1,none,24000,9,False
tfim,param_lam1,zne,1500,0,False
tfim,param_lam1,zne,1500,1,False
tfim,param_lam1,zne,1500,2,False
tfim,param_lam1,zne,1500,3,False
tfim,param_lam1,zne,1500,4,False
tfim,param_lam1,zne,1500,5,False
tfim,param_lam1,zne,1500,6,False
tfim,param_lam1,zne,1500,7,False
tfim,param_lam1,zne,1500,8,False
tfim,param_lam1,zne,1500,9,False
tfim,param_lam1,zne,3000,0,False
tfim,param_lam1,zne,3000,1,False
tfim,param_lam1,zne,3000,2,False
tfim,param_lam1,zne,3000,3,False
tfim,param_lam1,zne,3000,4,False
tfim,param_lam1,zne,3000,5,False
tfim,param_lam1,zne,3000,6,False
tfim,param_lam1,zne,3000,7,False
tfim,param_lam1,zne,3000,8,False
tfim,param_lam1,zne,3000,9,False
tfim,param_lam1,zne,6000,0,False
tfim,param_lam1,zne,6000,1,False
tfim,param_lam1,zne,6000,2,False
tfim,param_lam1,zne,6000,3,False
tfim,param_lam1,zne,6000,4,False
tfim,param_lam1,zne,6000,5,False
tfim,param_lam1,zne,6000,6,False
tfim,param_lam1,zne,6000,7,False
tfim,param_lam1,zne,6000,8,False
tfim,param_lam1,zne,6000,9,False
tfim,param_lam1,zne,12000,0,False
tfim,param_lam1,zne,12000,1,False
tfim,param_lam1,zne,12000,2,False
tfim,param_lam1,zne,12000,3,False
tfim,param_lam1,zne,12000,4,False
tfim,param_lam1,zne,12000,5,False
tfim,param_lam1,zne,12000,6,False
tfim,param_lam1,zne,12000,7,False
tfim,param_lam1,zne,12000,8,False
tfim,param_lam1,zne,12000,9,False
tfim,param_lam1,zne,24000,0,False
tfim,param_lam1,zne,24000,1,False
tfim,param_lam1,zne,24000,2,False
tfim,param_lam1,zne,24000,3,False
tfim,param_lam1,zne,24000,4,False
tfim,param_lam1,zne,24000,5,False
tfim,param_lam1,rem,1500,0,False
tfim,param_lam1,rem,1500,1,False
tfim,param_lam1,rem,1500,2,False
tfim,param_lam1,rem,1500,3,False
tfim,param_lam1,zne,24000,6,False
tfim,param_lam1,zne,24000,7,False
tfim,param_lam1,zne,24000,8,False
tfim,param_lam1,zne,24000,9,False
tfim,param_lam1,rem,1500,4,False
tfim,param_lam1,rem,1500,5,False
tfim,param_lam1,rem,1500,6,False
tfim,param_lam1,rem,1500,7,False
tfim,param_lam1,rem,1500,8,False
tfim,param_lam1,rem,1500,9,False
tfim,param_lam1,rem,3000,0,False
tfim,param_lam1,rem,3000,1,False
tfim,param_lam1,rem,3000,2,False
tfim,param_lam1,rem,3000,3,False
tfim,param_lam1,rem,3000,4,False
tfim,param_lam1,rem,3000,5,False
tfim,param_lam1,rem,3000,6,False
tfim,param_lam1,rem,3000,7,False
tfim,param_lam1,rem,3000,8,False
tfim,param_lam1,rem,3000,9,False
tfim,param_lam1,rem,6000,4,False
tfim,param_lam1,rem,6000,5,False
tfim,param_lam1,rem,6000,6,False
tfim,param_lam1,rem,6000,7,False
tfim,param_lam1,rem,6000,0,False
tfim,param_lam1,rem,6000,1,False
tfim,param_lam1,rem,6000,2,False
tfim,param_lam1,rem,6000,3,False
tfim,param_lam1,rem,6000,8,False
tfim,param_lam1,rem,6000,9,False
tfim,param_lam1,rem,12000,0,False
tfim,param_lam1,rem,12000,1,False
tfim,param_lam1,rem,12000,2,False
tfim,param_lam1,rem,12000,3,False
tfim,param_lam1,rem,12000,4,False
tfim,param_lam1,rem,12000,5,False
tfim,param_lam1,rem,12000,6,False
tfim,param_lam1,rem,12000,7,False
tfim,param_lam1,rem,12000,8,False
tfim,param_lam1,rem,12000,9,False
tfim,param_lam1,rem,24000,0,False
tfim,param_lam1,rem,24000,1,False
tfim,param_lam1,rem,24000,2,False
tfim,param_lam1,rem,24000,3,False
tfim,param_lam1,rem,24000,4,False
tfim,param_lam1,rem,24000,5,False
tfim,param_lam1,rem,24000,6,False
tfim,param_lam1,rem,24000,7,False
tfim,param_lam1,rem,24000,8,False
tfim,param_lam1,rem,24000,9,False
tfim,param_lam1,zne_rem,1500,0,False
tfim,param_lam1,zne_rem,1500,1,False
tfim,param_lam1,zne_rem,1500,2,False
tfim,param_lam1,zne_rem,1500,3,False
tfim,param_lam1,zne_rem,1500,4,False
tfim,param_lam1,zne_rem,1500,5,False
tfim,param_lam1,zne_rem,1500,6,False
tfim,param_lam1,zne_rem,1500,7,False
tfim,param_lam1,zne_rem,1500,8,False
tfim,param_lam1,zne_rem,1500,9,False
tfim,param_lam1,zne_rem,3000,0,False
tfim,param_lam1,zne_rem,3000,1,False
tfim,param_lam1,zne_rem,3000,2,False
tfim,param_lam1,zne_rem,3000,3,False
tfim,param_lam1,zne_rem,3000,4,False
tfim,param_lam1,zne_rem,3000,5,False
tfim,param_lam1,zne_rem,3000,6,False
tfim,param_lam1,zne_rem,3000,7,False
tfim,param_lam1,zne_rem,3000,8,False
tfim,param_lam1,zne_rem,3000,9,False
tfim,param_lam1,zne_rem,6000,0,False
tfim,param_lam1,zne_rem,6000,1,False
tfim,param_lam1,zne_rem,6000,2,False
tfim,param_lam1,zne_rem,6000,3,False
tfim,param_lam1,zne_rem,6000,4,False
tfim,param_lam1,zne_rem,6000,5,False
tfim,param_lam1,zne_rem,6000,6,False
tfim,param_lam1,zne_rem,6000,7,False
tfim,param_lam1,zne_rem,6000,8,False
tfim,param_lam1,zne_rem,6000,9,False
tfim,param_lam1,zne_rem,12000,0,False
tfim,param_lam1,zne_rem,12000,1,False
tfim,param_lam1,zne_rem,12000,2,False
tfim,param_lam1,zne_rem,12000,3,False
tfim,param_lam1,zne_rem,12000,4,False
tfim,param_lam1,zne_rem,12000,5,False
tfim,param_lam1,zne_rem,12000,6,False
tfim,param_lam1,zne_rem,12000,7,False
tfim,param_lam1,zne_rem,12000,8,False
tfim,param_lam1,zne_rem,12000,9,False
tfim,param_lam1,zne_rem,24000,0,False
tfim,param_lam1,zne_rem,24000,1,False
tfim,param_lam2,none,1500,4,False
tfim,param_lam2,none,1500,5,False
tfim,param_lam2,none,1500,6,False
tfim,param_lam2,none,1500,7,False
tfim,param_lam2,none,1500,0,False
tfim,param_lam2,none,1500,1,False
tfim,param_lam2,none,1500,2,False
tfim,param_lam2,none,1500,3,False
tfim,param_lam1,zne_rem,24000,2,False
tfim,param_lam1,zne_rem,24000,3,False
tfim,param_lam1,zne_rem,24000,4,False
tfim,param_lam1,zne_rem,24000,5,False
tfim,param_lam2,none,3000,2,False
tfim,param_lam2,none,3000,3,False
tfim,param_lam2,none,3000,4,False
tfim,param_lam2,none,3000,5,False
tfim,param_lam2,none,1500,8,False
tfim,param_lam2,none,1500,9,False
tfim,param_lam2,none,3000,0,False
tfim,param_lam2,none,3000,1,False
tfim,param_lam2,none,3000,6,False
tfim,param_lam2,none,3000,7,False
tfim,param_lam2,none,3000,8,False
tfim,param_lam2,none,3000,9,False
tfim,param_lam2,none,6000,0,False
tfim,param_lam2,none,6000,1,False
tfim,param_lam2,none,6000,2,False
tfim,param_lam2,none,6000,3,False
tfim,param_lam2,none,6000,4,False
tfim,param_lam2,none,6000,5,False
tfim,param_lam2,none,6000,6,False
tfim,param_lam2,none,6000,7,False
tfim,param_lam1,zne_rem,24000,6,False
tfim,param_lam1,zne_rem,24000,7,False
tfim,param_lam1,zne_rem,24000,8,False
tfim,param_lam1,zne_rem,24000,9,False
tfim,param_lam2,none,6000,8,False
tfim,param_lam2,none,6000,9,False
tfim,param_lam2,none,12000,0,False
tfim,param_lam2,none,12000,1,False
tfim,param_lam2,none,12000,6,False
tfim,param_lam2,none,12000,7,False
tfim,param_lam2,none,12000,8,False
tfim,param_lam2,none,12000,9,False
tfim,param_lam2,none,12000,2,False
tfim,param_lam2,none,12000,3,False
tfim,param_lam2,none,12000,4,False
tfim,param_lam2,none,12000,5,False
tfim,param_lam2,none,24000,0,False
tfim,param_lam2,none,24000,1,False
tfim,param_lam2,none,24000,2,False
tfim,param_lam2,none,24000,3,False
tfim,param_lam2,none,24000,4,False
tfim,param_lam2,none,24000,5,False
tfim,param_lam2,none,24000,6,False
tfim,param_lam2,none,24000,7,False
tfim,param_lam2,none,24000,8,False
tfim,param_lam2,none,24000,9,False
tfim,param_lam2,zne,1500,0,False
tfim,param_lam2,zne,1500,1,False
tfim,param_lam2,zne,1500,2,False
tfim,param_lam2,zne,1500,3,False
tfim,param_lam2,zne,1500,4,False
tfim,param_lam2,zne,1500,5,False
tfim,param_lam2,zne,1500,6,False
tfim,param_lam2,zne,1500,7,False
tfim,param_lam2,zne,1500,8,False
tfim,param_lam2,zne,1500,9,False
tfim,param_lam2,zne,3000,0,False
tfim,param_lam2,zne,3000,1,False
tfim,param_lam2,zne,3000,2,False
tfim,param_lam2,zne,3000,3,False
tfim,param_lam2,zne,3000,4,False
tfim,param_lam2,zne,3000,5,False
tfim,param_lam2,zne,3000,6,False
tfim,param_lam2,zne,3000,7,False
tfim,param_lam2,zne,3000,8,False
tfim,param_lam2,zne,3000,9,False
tfim,param_lam2,zne,6000,0,False
tfim,param_lam2,zne,6000,1,False
tfim,param_lam2,zne,6000,2,False
tfim,param_lam2,zne,6000,3,False
tfim,param_lam2,zne,6000,4,False
tfim,param_lam2,zne,6000,5,False
tfim,param_lam2,zne,6000,6,False
tfim,param_lam2,zne,6000,7,False
tfim,param_lam2,zne,6000,8,False
tfim,param_lam2,zne,6000,9,False
tfim,param_lam2,zne,12000,0,False
tfim,param_lam2,zne,12000,1,False
tfim,param_lam2,zne,12000,2,False
tfim,param_lam2,zne,12000,3,False
tfim,param_lam2,zne,12000,4,False
tfim,param_lam2,zne,12000,5,False
tfim,param_lam2,zne,12000,6,False
tfim,param_lam2,zne,12000,7,False
tfim,param_lam2,zne,12000,8,False
tfim,param_lam2,zne,12000,9,False
tfim,param_lam2,zne,24000,0,False
tfim,param_lam2,zne,24000,1,False
tfim,param_lam2,zne,24000,2,False
tfim,param_lam2,zne,24000,3,False
tfim,param_lam2,zne,24000,4,False
tfim,param_lam2,zne,24000,5,False
tfim,param_lam2,rem,1500,0,False
tfim,param_lam2,rem,1500,1,False
tfim,param_lam2,rem,1500,2,False
tfim,param_lam2,rem,1500,3,False
tfim,param_lam2,rem,1500,4,False
tfim,param_lam2,rem,1500,5,False
tfim,param_lam2,rem,1500,6,False
tfim,param_lam2,rem,1500,7,False
tfim,param_lam2,rem,3000,2,False
tfim,param_lam2,rem,3000,3,False
tfim,param_lam2,rem,3000,4,False
tfim,param_lam2,rem,3000,5,False
tfim,param_lam2,rem,1500,8,False
tfim,param_lam2,rem,1500,9,False
tfim,param_lam2,rem,3000,0,False
tfim,param_lam2,rem,3000,1,False
tfim,param_lam2,zne,24000,6,False
tfim,param_lam2,zne,24000,7,False
tfim,param_lam2,zne,24000,8,False
tfim,param_lam2,zne,24000,9,False
tfim,param_lam2,rem,3000,6,False
tfim,param_lam2,rem,3000,7,False
tfim,param_lam2,rem,3000,8,False
tfim,param_lam2,rem,3000,9,False
tfim,param_lam2,rem,6000,4,False
tfim,param_lam2,rem,6000,5,False
tfim,param_lam2,rem,6000,6,False
tfim,param_lam2,rem,6000,7,False
tfim,param_lam2,rem,6000,0,False
tfim,param_lam2,rem,6000,1,False
tfim,param_lam2,rem,6000,2,False
tfim,param_lam2,rem,6000,3,False
tfim,param_lam2,rem,6000,8,False
tfim,param_lam2,rem,6000,9,False
tfim,param_lam2,rem,12000,0,False
tfim,param_lam2,rem,12000,1,False
tfim,param_lam2,rem,12000,2,False
tfim,param_lam2,rem,12000,3,False
tfim,param_lam2,rem,12000,4,False
tfim,param_lam2,rem,12000,5,False
tfim,param_lam2,rem,12000,6,False
tfim,param_lam2,rem,12000,7,False
tfim,param_lam2,rem,12000,8,False
tfim,param_lam2,rem,12000,9,False
tfim,param_lam2,rem,24000,0,False
tfim,param_lam2,rem,24000,1,False
tfim,param_lam2,rem,24000,2,False
tfim,param_lam2,rem,24000,3,False
tfim,param_lam2,rem,24000,4,False
tfim,param_lam2,rem,24000,5,False
tfim,param_lam2,rem,24000,6,False
tfim,param_lam2,rem,24000,7,False
tfim,param_lam2,rem,24000,8,False
tfim,param_lam2,rem,24000,9,False
tfim,param_lam2,zne_rem,1500,0,False
tfim,param_lam2,zne_rem,1500,1,False
tfim,param_lam2,zne_rem,1500,2,False
tfim,param_lam2,zne_rem,1500,3,False
tfim,param_lam2,zne_rem,1500,4,False
tfim,param_lam2,zne_rem,1500,5,False
tfim,param_lam2,zne_rem,3000,0,False
tfim,param_lam2,zne_rem,3000,1,False
tfim,param_lam2,zne_rem,3000,2,False
tfim,param_lam2,zne_rem,3000,3,False
tfim,param_lam2,zne_rem,1500,6,False
tfim,param_lam2,zne_rem,1500,7,False
tfim,param_lam2,zne_rem,1500,8,False
tfim,param_lam2,zne_rem,1500,9,False
tfim,param_lam2,zne_rem,3000,4,False
tfim,param_lam2,zne_rem,3000,5,False
tfim,param_lam2,zne_rem,3000,6,False
tfim,param_lam2,zne_rem,3000,7,False
tfim,param_lam2,zne_rem,6000,2,False
tfim,param_lam2,zne_rem,6000,3,False
tfim,param_lam2,zne_rem,6000,4,False
tfim,param_lam2,zne_rem,6000,5,False
tfim,param_lam2,zne_rem,3000,8,False
tfim,param_lam2,zne_rem,3000,9,False
tfim,param_lam2,zne_rem,6000,0,False
tfim,param_lam2,zne_rem,6000,1,False
tfim,param_lam2,zne_rem,6000,6,False
tfim,param_lam2,zne_rem,6000,7,False
tfim,param_lam2,zne_rem,6000,8,False
tfim,param_lam2,zne_rem,6000,9,False
tfim,param_lam2,zne_rem,12000,0,False
tfim,param_lam2,zne_rem,12000,1,False
tfim,param_lam2,zne_rem,12000,2,False
tfim,param_lam2,zne_rem,12000,3,False
tfim,param_lam2,zne_rem,12000,4,False
tfim,param_lam2,zne_rem,12000,5,False
tfim,param_lam2,zne_rem,12000,6,False
tfim,param_lam2,zne_rem,12000,7,False
qaoa_p1,ideal,none,1500,0,False
qaoa_p1,ideal,none,1500,1,False
qaoa_p1,ideal,none,1500,2,False
qaoa_p1,ideal,none,1500,3,False
qaoa_p1,ideal,none,1500,4,False
qaoa_p1,ideal,none,1500,5,False
qaoa_p1,ideal,none,1500,6,False
qaoa_p1,ideal,none,1500,7,False
qaoa_p1,ideal,none,1500,8,False
qaoa_p1,ideal,none,1500,9,False
qaoa_p1,ideal,none,3000,0,False
qaoa_p1,ideal,none,3000,1,False
tfim,param_lam2,zne_rem,12000,8,False
tfim,param_lam2,zne_rem,12000,9,False
tfim,param_lam2,zne_rem,24000,0,False
tfim,param_lam2,zne_rem,24000,1,False
tfim,param_lam2,zne_rem,24000,2,False
tfim,param_lam2,zne_rem,24000,3,False
tfim,param_lam2,zne_rem,24000,4,False
tfim,param_lam2,zne_rem,24000,5,False
qaoa_p1,ideal,none,3000,2,False
qaoa_p1,ideal,none,3000,3,False
qaoa_p1,ideal,none,3000,4,False
qaoa_p1,ideal,none,3000,5,False
qaoa_p1,ideal,none,3000,6,False
qaoa_p1,ideal,none,3000,7,False
qaoa_p1,ideal,none,3000,8,False
qaoa_p1,ideal,none,3000,9,False
qaoa_p1,ideal,none,6000,0,False
qaoa_p1,ideal,none,6000,1,False
qaoa_p1,ideal,none,6000,2,False
qaoa_p1,ideal,none,6000,3,False
qaoa_p1,ideal,none,6000,4,False
qaoa_p1,ideal,none,6000,5,False
qaoa_p1,ideal,none,6000,6,False
qaoa_p1,ideal,none,6000,7,False
qaoa_p1,ideal,none,6000,8,False
qaoa_p1,ideal,none,6000,9,False
qaoa_p1,ideal,none,12000,0,False
qaoa_p1,ideal,none,12000,1,False
qaoa_p1,ideal,none,12000,2,False
qaoa_p1,ideal,none,12000,3,False
qaoa_p1,ideal,none,12000,4,False
qaoa_p1,ideal,none,12000,5,False
qaoa_p1,ideal,none,12000,6,False
qaoa_p1,ideal,none,12000,7,False
qaoa_p1,ideal,none,12000,8,False
qaoa_p1,ideal,none,12000,9,False
qaoa_p1,ideal,none,24000,0,False
qaoa_p1,ideal,none,24000,1,False
qaoa_p1,ideal,none,24000,2,False
qaoa_p1,ideal,none,24000,3,False
qaoa_p1,ideal,none,24000,4,False
qaoa_p1,ideal,none,24000,5,False
qaoa_p1,ideal,none,24000,6,False
qaoa_p1,ideal,none,24000,7,False
tfim,param_lam2,zne_rem,24000,6,False
tfim,param_lam2,zne_rem,24000,7,False
tfim,param_lam2,zne_rem,24000,8,False
tfim,param_lam2,zne_rem,24000,9,False
qaoa_p1,ideal,none,24000,8,False
qaoa_p1,ideal,none,24000,9,False
qaoa_p1,ideal,zne,1500,0,False
qaoa_p1,ideal,zne,1500,1,False
qaoa_p1,ideal,zne,1500,6,False
qaoa_p1,ideal,zne,1500,7,False
qaoa_p1,ideal,zne,1500,8,False
qaoa_p1,ideal,zne,1500,9,False
qaoa_p1,ideal,zne,1500,2,False
qaoa_p1,ideal,zne,1500,3,False
qaoa_p1,ideal,zne,1500,4,False
qaoa_p1,ideal,zne,1500,5,False
qaoa_p1,ideal,zne,3000,0,False
qaoa_p1,ideal,zne,3000,1,False
qaoa_p1,ideal,zne,3000,2,False
qaoa_p1,ideal,zne,3000,3,False
qaoa_p1,ideal,zne,3000,4,False
qaoa_p1,ideal,zne,3000,5,False
qaoa_p1,ideal,zne,3000,6,False
qaoa_p1,ideal,zne,3000,7,False
qaoa_p1,ideal,zne,6000,2,False
qaoa_p1,ideal,zne,6000,3,False
qaoa_p1,ideal,zne,6000,4,False
qaoa_p1,ideal,zne,6000,5,False
qaoa_p1,ideal,zne,3000,8,False
qaoa_p1,ideal,zne,3000,9,False
qaoa_p1,ideal,zne,6000,0,False
qaoa_p1,ideal,zne,6000,1,False
qaoa_p1,ideal,zne,6000,6,False
qaoa_p1,ideal,zne,6000,7,False
qaoa_p1,ideal,zne,6000,8,False
qaoa_p1,ideal,zne,6000,9,False
qaoa_p1,ideal,zne,12000,0,False
qaoa_p1,ideal,zne,12000,1,False
qaoa_p1,ideal,zne,12000,2,False
qaoa_p1,ideal,zne,12000,3,False
qaoa_p1,ideal,zne,12000,4,False
qaoa_p1,ideal,zne,12000,5,False
qaoa_p1,ideal,zne,12000,6,False
qaoa_p1,ideal,zne,12000,7,False
qaoa_p1,ideal,zne,12000,8,False
qaoa_p1,ideal,zne,12000,9,False
qaoa_p1,ideal,zne,24000,0,False
qaoa_p1,ideal,zne,24000,1,False
qaoa_p1,ideal,zne,24000,2,False
qaoa_p1,ideal,zne,24000,3,False
qaoa_p1,ideal,zne,24000,4,False
qaoa_p1,ideal,zne,24000,5,False
qaoa_p1,ideal,rem,1500,0,False
qaoa_p1,ideal,rem,1500,1,False
qaoa_p1,ideal,rem,1500,2,False
qaoa_p1,ideal,rem,1500,3,False
qaoa_p1,ideal,zne,24000,6,False
qaoa_p1,ideal,zne,24000,7,False
qaoa_p1,ideal,zne,24000,8,False
qaoa_p1,ideal,zne,24000,9,False
qaoa_p1,ideal,rem,1500,4,False
qaoa_p1,ideal,rem,1500,5,False
qaoa_p1,ideal,rem,1500,6,False
qaoa_p1,ideal,rem,1500,7,False
qaoa_p1,ideal,rem,1500,8,False
qaoa_p1,ideal,rem,1500,9,False
qaoa_p1,ideal,rem,3000,0,False
qaoa_p1,ideal,rem,3000,1,False
qaoa_p1,ideal,rem,3000,6,False
qaoa_p1,ideal,rem,3000,7,False
qaoa_p1,ideal,rem,3000,8,False
qaoa_p1,ideal,rem,3000,9,False
qaoa_p1,ideal,rem,3000,2,False
qaoa_p1,ideal,rem,3000,3,False
qaoa_p1,ideal,rem,3000,4,False
qaoa_p1,ideal,rem,3000,5,False
qaoa_p1,ideal,rem,6000,0,False
qaoa_p1,ideal,rem,6000,1,False
qaoa_p1,ideal,rem,6000,2,False
qaoa_p1,ideal,rem,6000,3,False
qaoa_p1,ideal,rem,6000,4,False
qaoa_p1,ideal,rem,6000,5,False
qaoa_p1,ideal,rem,6000,6,False
qaoa_p1,ideal,rem,6000,7,False
qaoa_p1,ideal,rem,12000,2,False
qaoa_p1,ideal,rem,12000,3,False
qaoa_p1,ideal,rem,12000,4,False
qaoa_p1,ideal,rem,12000,5,False
qaoa_p1,ideal,rem,6000,8,False
qaoa_p1,ideal,rem,6000,9,False
qaoa_p1,ideal,rem,12000,0,False
qaoa_p1,ideal,rem,12000,1,False
